queens_condominium_property_total_units	comparable_rental_2_address/latitude	comparable_rental_2_address/human_address/address	comparable_rental_2_address/human_address/city	comparable_rental_2_address/human_address/state	comparable_rental_2_address/longitude	comparable_rental_1_neighborhood	queens_condominium_property_full_market_value	queens_condominium_property_building_classification	comparable_rental_2_gross_sqft	comparable_rental_2_building_classification	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	queens_condominium_property_gross_income_per_sqft	comparable_rental_1_building_classification	queens_condominium_property_neighborhood	comparable_rental_1_address/latitude	comparable_rental_1_address/human_address/address	comparable_rental_1_address/human_address/city	comparable_rental_1_address/human_address/state	comparable_rental_1_address/longitude	comparable_rental_2_neighborhood	queens_condominium_property_condo_section	queens_condominium_property_boro_block_lot	queens_condominium_property_year_built	comparable_rental_2_dist_from_coop_in_miles	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	queens_condominium_property_address/latitude	queens_condominium_property_address/human_address/address	queens_condominium_property_address/human_address/city	queens_condominium_property_address/human_address/state	queens_condominium_property_address/longitude	comparable_rental_2_year_built	queens_condominium_property_est_gross_income	queens_condominium_property_gross_sqft	comparable_rental_1_est_gross_income	queens_condominium_property_market_value_per_sqft	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
16	40.749436300045204	40 10 77 STREET	Queens	New York	-73.79729979984586	ELMHURST	860003	R2-WALK-UP	10076	C1-WALK-UP	15.88	933000	4-01487-0011	0.85	16.66	16.65	C1-WALK-UP	ELMHURST	40.749436300045204	70 06 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	ELMHURST	395-R1	4-02875-7501	1990	0.9	159980	23	68	18	651000	40.749436300045204	85 26 GRAND AVENUE	Queens	New York	-73.79729979984586	1961	211455	12700	229500	68	4-01349-0016	13772	65	1961
19	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	1099997	R2-WALK-UP	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	1	12.52	22.77	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	400-R1	4-02882-7501	1998	0.8	254501	21	47.1	21	1040000	40.749436300045204	85 36 57 AVENUE	Queens	New York	-73.79729979984586	1992	245232	10770	241090	102	4-01505-0076	19250	65	1991
15	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	901001	R2-WALK-UP	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	1	12.52	18.11	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	425-R1	4-02882-7502	2002	0.8	254501	21	47.1	21	1040000	40.749436300045204	85 24 57 AVENUE	Queens	New York	-73.79729979984586	1992	221557	12234	241090	74	4-01505-0076	19250	65	1991
12	40.749436300045204	166 15 DEPOT ROAD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	545000	R2-WALK-UP	13549	C1-WALK-UP	10.61	509000	4-05293-0045	4.9	11.92	11.6	C1-WALK-UP	MIDDLE VILLAGE	40.749436300045204	35 20 149 STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	102-R1	4-03029-7501	1985	5.5	143700	16	42	16	486000	40.749436300045204	71 09 JUNIPER VALLEY ROAD	Queens	New York	-73.79729979984586	1975	154720	13338	144450	40.9	4-05005-0045	12120	35.9	1975
12	40.749436300045204	40 37 97 STREET	Queens	New York	-73.79729979984586	ASTORIA	618998	R2-WALK-UP	12304	C1-WALK-UP	12.97	529000	4-01606-0052	4.2	14.75	13.99	C1-WALK-UP	MIDDLE VILLAGE	40.749436300045204	31 20 28 ROAD	Queens	New York	-73.79729979984586	CORONA	142-R1	4-03055-7501	1985	2.6	159599	12	58	16	600000	40.749436300045204	66 57 71 STREET	Queens	New York	-73.79729979984586	1990	156128	11160	133500	55	4-00619-0033	9053	48.8	1987
49	40.749436300045204	119 40 METROPOLITAN AVENU	Queens	New York	-73.79729979984586	BAYSIDE	1730004	R2-WALK-UP	67282	C7-WALK-UP	9.65	980000	4-09231-0013	6.9	10.12	10.1	C9-WALK-UP	MIDDLE VILLAGE	40.749436300045204	39 06	Queens	New York	-73.79729979984586	KEW GARDENS	169-R1	4-03055-7502	1987	2.8	649204	30	34.2	39	2190000	40.749436300045204	71 57 METROPOLITAN AVENUE	Queens	New York	-73.79729979984586	1987	511767	50670	289997	34.1	4-06241-0020	28648	32.5	1968
28	40.749436300045204	85 18 118 STREET	Queens	New York	-73.79729979984586	MIDDLE VILLAGE	2250007	R4-ELEVATOR	37772	D1-ELEVATOR	14	2150000	4-09260-0011	0.9	17.66	17.8	C9-WALK-UP	MIDDLE VILLAGE	40.749436300045204	84 31 FLEET COURT	Queens	New York	-73.79729979984586	KEW GARDENS	204-R1	4-03057-7501	1987	2.65	528827	69	72	48	2100000	40.749436300045204	72 29 METROPOLITAN AVENUE	Queens	New York	-73.79729979984586	1959	553224	31080	529566	72	4-03014-0032	29988	56	1949
18	40.749436300045204	98 15 ROOSEVELT AVENUE	Queens	New York	-73.79729979984586	MIDDLE VILLAGE	1900000	R2-WALK-UP	12300	C7-WALK-UP	18.89	507000	4-01764-0017	1.1	17.01	22.7	C7-WALK-UP	MIDDLE VILLAGE	40.749436300045204	60 16 86 STREET	Queens	New York	-73.79729979984586	CORONA	163-R1	4-03068-7501	1987	2.5	232327	12	69	12	945000	40.749436300045204	66 70 79 STREET	Queens	New York	-73.79729979984586	1988	424399	18696	124727	102	4-02886-0019	7331	77	1982
21						REGO PARK	3520004	R4-ELEVATOR				2660000		0.35	17.52	19.7	C7-WALK-UP	REGO PARK	40.749436300045204	62 05 WOODHAVEN BOULEVARD	Queens	New York	-73.79729979984586		404-R1	4-03081-7501	2001			50	71			40.749436300045204	63 47 BOOTH STREET	Queens	New York	-73.79729979984586		788000	40000	653967	88	4-03106-0020	37328		1949
42	40.749436300045204	83 34 LEFFERTS BOULEVARD	Queens	New York	-73.79729979984586	KEW GARDENS	1740001	R4-ELEVATOR	25935	D1-ELEVATOR	16.17	1480000	4-03322-0119	2.15	16.8	16.4	D1-ELEVATOR	REGO PARK	40.749436300045204	83 14 LEFFERTS BOULEVARD	Queens	New York	-73.79729979984586	KEW GARDENS	137-R1	4-03096-7501	1960	2.15	419426	37	69	37	1710000	40.749436300045204	63 80 WETHEROLE STREET	Queens	New York	-73.79729979984586	1964	428335	26118	362965	67	4-03322-0111	21600	66	1964
56	40.749436300045204	89 10 63 DRIVE	Queens	New York	-73.79729979984586	REGO PARK	2149999	R4-ELEVATOR	23100	D1-ELEVATOR	13.62	1340000	4-03117-0017	0.15	13.55	13.6	D3-ELEVATOR	REGO PARK	40.749436300045204	65 62 SAUNDERS STREET	Queens	New York	-73.79729979984586	REGO PARK	236-R1	4-03097-7503	1961	0.3	314559	38	51	36	1180000	40.749436300045204	64 49 WETHEROLE STREET	Queens	New York	-73.79729979984586	1957	541824	39840	357764	54	4-03087-0021	26400	51	1954
67	40.749436300045204	65 41 SAUNDERS STREET	Queens	New York	-73.79729979984586	REGO PARK	3220000	R4-ELEVATOR	60000	D1-ELEVATOR	12.98	3180000	4-03086-0002	0.4	13.03	13.45	D7-ELEVATOR	REGO PARK	40.749436300045204	93 54 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	REGO PARK	337-R1	4-03097-7505	1941	0.15	778637	65	49	61	2930000	40.749436300045204	65 20 BOOTH STREET	Queens	New York	-73.79729979984586	1940	856671	63693	846044	51	4-03078-0110	64935	48.8	1939
64	40.749436300045204	34 20 74 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	2610003	R4-ELEVATOR	66138	D1-ELEVATOR	12.75	2370000	4-01260-0016	3.45	10.36	11.15	D1-ELEVATOR	REGO PARK	40.749436300045204	43 06 45 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	56-R1	4-03100-7501	1941	2.55	843116	82	35.1	65	3170000	40.749436300045204	65 36 WETHEROLE STREET	Queens	New York	-73.79729979984586	1937	739513	66324	700201	39.4	4-00161-0026	67578	47.9	1928
78	40.749436300045204	132 54 POPLE AVENUE	Queens	New York	-73.79729979984586	REGO PARK	4540007	R4-ELEVATOR	43957	D6-ELEVATOR	17.86	3980000	4-05104-0027	0.55	14.98	16.55	D1-ELEVATOR	REGO PARK	40.749436300045204	63 36 98 PLACE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	262-R1	4-03102-7501	1988	2.6	785128	66	59	33	3190000	40.749436300045204	87 62 AVENUE	Queens	New York	-73.79729979984586	1990	1117158	67502	1003304	67	4-02098-0018	66962	73	1980
164	40.749436300045204	64 20 SAUNDERS STREET	Queens	New York	-73.79729979984586	REGO PARK	8889957	R4-ELEVATOR	127152	D1-ELEVATOR	12.97	4720000	4-03085-0008	0.65	10.52	15	D1-ELEVATOR	REGO PARK	40.749436300045204	98 30 67 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	72-R1	4-03115-7501	1952	0.5	1648925	128	35.6	150	6200000	40.749436300045204	63 85 WOODHAVEN BOULEVARD	Queens	New York	-73.79729979984586	1950	2243370	149558	1395945	59	4-03168-0013	132724	48.8	1954
66	40.749436300045204	95 08 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	REGO PARK	3429996	R4-ELEVATOR	62400	D1-ELEVATOR	13.03	2700000	4-03080-0006	0.5	12.28	13.75	D1-ELEVATOR	REGO PARK	40.749436300045204	63 07 SAUNDERS STREET	Queens	New York	-73.79729979984586	REGO PARK	259-R1	4-03159-7501	1939	0.5	813323	60	43.3	60	3060000	40.749436300045204	98 76 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1941	866250	63000	766236	54	4-03080-0001	62400	49	1939
67	40.749436300045204	95 08 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	REGO PARK	4189989	R4-ELEVATOR	62400	D1-ELEVATOR	13.03	2700000	4-03080-0006	0.65	12.28	16.1	D1-ELEVATOR	REGO PARK	40.749436300045204	63 07 SAUNDERS STREET	Queens	New York	-73.79729979984586	REGO PARK	356-R1	4-03169-7501	1941	0.65	813323	60	43.3	60	3060000	40.749436300045204	99 34 67 ROAD	Queens	New York	-73.79729979984586	1941	1030367	63998	766236	65	4-03080-0001	62400	49	1939
64						FOREST HILLS	4000032	R4-ELEVATOR				3660000		0.65	13.36	14.15	D1-ELEVATOR	REGO PARK	40.749436300045204	109 05 QUEENS BOULEVARD	Queens	New York	-73.79729979984586		68-R1	4-03171-7501	1941			65	50			40.749436300045204	100 10 67 ROAD	Queens	New York	-73.79729979984586		1009121	71316	972531	56	4-02225-0006	72800		1936
31	40.749436300045204	95 11 64 ROAD	Queens	New York	-73.79729979984586	REGO PARK	2380000	R9-CONDOPS	27907	C1-WALK-UP	16.74	1180000	4-03083-0079	0.65	13.62	19.8	D1-ELEVATOR	REGO PARK	40.749436300045204	89 10 63 DRIVE	Queens	New York	-73.79729979984586	REGO PARK	419-R1	4-03171-7502	1964	0.55	467120	36	51	32	1900000	40.749436300045204	101 18 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1993	533214	26930	314559	88	4-03117-0017	23100	68	1957
98	40.749436300045204	63 60 98 STREET	Queens	New York	-73.79729979984586	REGO PARK	8660000	R9-CONDOPS	121110	D1-ELEVATOR	11.37	4710000	4-02090-0026	0.35	9.79	15	D7-ELEVATOR	REGO PARK	40.749436300045204	65 09 99 STREET	Queens	New York	-73.79729979984586	REGO PARK	330-R1	4-03173-7501	1991	0.6	1376596	133	33.1	129	4850000	40.749436300045204	102 30 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1951	2185755	145717	1392902	59	4-02115-0001	142260	40	1946
162	40.749436300045204	68 38	Queens	New York	-73.79729979984586	FOREST HILLS	10400000	R9-CONDOPS	132960	D1-ELEVATOR	14.05	7260000	4-02138-0029	0.6	15.82	14.45	D1-ELEVATOR	FOREST HILLS	40.749436300045204	66 22 FLEET STREET	Queens	New York	-73.79729979984586	FOREST HILLS	201-R1	4-03239-7501	1965	0.35	1868329	130	64	111	7410000	40.749436300045204	107 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1941	2627776	181853	1783961	57	4-03161-0001	112800	56	1962
58	40.749436300045204	72 25 AUSTIN STREET	Queens	New York	-73.79729979984586	FOREST HILLS	1849998	R4-ELEVATOR	48000	D7-ELEVATOR	14.63	3700000	4-03258-0023	0	20.48	12.75	D7-ELEVATOR	FOREST HILLS	40.749436300045204	71 50 AUSTIN STREET	Queens	New York	-73.79729979984586	FOREST HILLS	118-R1	4-03255-7501	1932	0.1	702341	53	92	50	2780000	40.749436300045204	72 34 AUSTIN STREET	Queens	New York	-73.79729979984586	1920	491920	38582	827444	47.9	4-03255-0028	40398	58	1932
98	40.749436300045204	72 72 112 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	7559996	R4-ELEVATOR	137500	D1-ELEVATOR	14.17	7710000	4-02238-0019	0.25	13.98	13.65	D7-ELEVATOR	FOREST HILLS	40.749436300045204	150 GREENWAY TERRACE	Queens	New York	-73.79729979984586	FOREST HILLS	450-R1	4-03257-7501	2004	0.2	1948077	96	55	118	7720000	40.749436300045204	108 24 71 ROAD	Queens	New York	-73.79729979984586	1939	1906482	139669	1945000	54	4-03272-0001	139142	56	1941
69	40.749436300045204	109 05 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	FOREST HILLS	3430000	R9-CONDOPS	72800	D1-ELEVATOR	13.36	3210000	4-02225-0006	1.25	11.7	12.8	D1-ELEVATOR	FOREST HILLS	40.749436300045204	63 10 108 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	293-R1	4-03292-7501	1938	0.2	972531	76	41.3	65	3660000	40.749436300045204	110 31 73 ROAD	Queens	New York	-73.79729979984586	1936	911488	71210	909521	48.2	4-02146-0028	77730	50	1955
66	40.749436300045204	63 10 108 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	4430000	R9-CONDOPS	77730	D1-ELEVATOR	11.7	4450000	4-02146-0028	1.45	12.55	12.55	D1-ELEVATOR	FOREST HILLS	40.749436300045204	102 50 62 ROAD	Queens	New York	-73.79729979984586	FOREST HILLS	194-R1	4-03293-7501	1942	1.3	909521	102	47.2	76	3210000	40.749436300045204	110 73 ROAD	Queens	New York	-73.79729979984586	1955	1177190	93800	1184349	47.2	4-02122-0028	94350	41.3	1956
39	40.749436300045204	80 04 AUSTIN STREET	Queens	New York	-73.79729979984586	KEW GARDENS	1679997	R4-ELEVATOR	35790	C1-WALK-UP	13.26	1860000	4-03335-0030	0.2	13.63	11.14	D1-ELEVATOR	KEW GARDENS	40.749436300045204	118 65 METROPOLITAN AVENU	Queens	New York	-73.79729979984586	KEW GARDENS	455-R1	4-03321-7502	2004	0.5	474642	55	54	48	1780000	40.749436300045204	83 75 117 STREET	Queens	New York	-73.79729979984586	1930	476882	42795	470082	39.3	4-03329-0057	34500	49.7	1927
30	40.749436300045204	80 04 AUSTIN STREET	Queens	New York	-73.79729979984586	KEW GARDENS	4080003	R4-ELEVATOR	35790	C1-WALK-UP	13.26	1860000	4-03335-0030	0.2	13.63	24	D1-ELEVATOR	KEW GARDENS	40.749436300045204	118 65 METROPOLITAN AVENU	Queens	New York	-73.79729979984586	KEW GARDENS	435-R1	4-03321-7503	2001	0.55	474642	55	54	48	1780000	40.749436300045204	83 71 116 STREET	Queens	New York	-73.79729979984586	1930	912000	38000	470082	107	4-03329-0057	34500	49.7	1927
59	40.749436300045204	27 10 ASTORIA BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	6809996	R4-ELEVATOR	25920	D7-ELEVATOR	19.9	3470000	4-00573-0046	6.6	18.41	27	D1-ELEVATOR	KEW GARDENS	40.749436300045204	31 64 21 STREET	Queens	New York	-73.79729979984586	ASTORIA	461-R1	4-03321-7504	2005	6.4	515860	52	75	27	2310000	40.749436300045204	116 24 GROSVENOR LANE	Queens	New York	-73.79729979984586	2004	1404891	52033	852831	131	4-00531-0060	46333	89	2002
41	40.749436300045204	80 04 AUSTIN STREET	Queens	New York	-73.79729979984586	KEW GARDENS	3430005	R4-ELEVATOR	35790	C1-WALK-UP	13.26	1860000	4-03335-0030	0.1	13.63	21	D1-ELEVATOR	KEW GARDENS	40.749436300045204	118 65 METROPOLITAN AVENU	Queens	New York	-73.79729979984586	KEW GARDENS	410-R1	4-03322-7501	2002	0.45	474642	55	54	48	1780000	40.749436300045204	118 82 METROPOLITAN AVENU	Queens	New York	-73.79729979984586	1930	768285	36585	470082	94	4-03329-0057	34500	49.7	1927
95	40.749436300045204	109 05 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	FOREST HILLS	4310000	R4-ELEVATOR	72800	D1-ELEVATOR	13.36	4900000	4-02225-0006	0.55	16.51	13.5	D1-ELEVATOR	FOREST HILLS	40.749436300045204	70 11 108 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	63-R1	4-03340-7501	1938	0.45	972531	78	67	65	3660000	40.749436300045204	111 14 76 AVENUE	Queens	New York	-73.79729979984586	1936	1146879	84954	1205642	51	4-02222-0001	73020	50	1939
39	40.749436300045204	71 58 AUSTIN STREET	Queens	New York	-73.79729979984586	FOREST HILLS	1710002	R4-ELEVATOR	25550	C7-WALK-UP	23.14	2460000	4-03255-0033	0.45	16.62	13.65	D1-ELEVATOR	FOREST HILLS	40.749436300045204	110 48 72 AVENUE	Queens	New York	-73.79729979984586	FOREST HILLS	289-R1	4-03342-7501	1939	0.5	591135	48	68	36	2640000	40.749436300045204	111 56 76 DRIVE	Queens	New York	-73.79729979984586	1937	430125	31511	605695	54	4-02236-0027	36436	103	1967
59	40.749436300045204	107 19 70 AVENUE	Queens	New York	-73.79729979984586	FOREST HILLS	2849991	R4-ELEVATOR	61700	D1-ELEVATOR	12.09	3820000	4-02214-0040	0.2	16.23	14	D1-ELEVATOR	FOREST HILLS	40.749436300045204	111 20 76 ROAD	Queens	New York	-73.79729979984586	FOREST HILLS	193-R1	4-03347-7501	1971	0.95	746224	66	66	67	2630000	40.749436300045204	119 45 UNION TURNPIKE	Queens	New York	-73.79729979984586	1938	719264	51376	939579	55	4-03341-0008	57909	42.6	1937
108	40.749436300045204	84 50 AUSTIN STREET	Queens	New York	-73.79729979984586	KEW GARDENS	3310000	R9-CONDOPS	74928	D1-ELEVATOR	13.15	3480000	4-09245-0240	0.55	12.49	13.15	D1-ELEVATOR	KEW GARDENS	40.749436300045204	83 10 118 STREET	Queens	New York	-73.79729979984586	KEW GARDENS	202-R1	4-03358-7501	1951	0.5	985417	79	47	75	3700000	40.749436300045204	123 25 82 AVENUE	Queens	New York	-73.79729979984586	1955	879472	66880	925824	49.5	4-03321-0018	74118	49.4	1954
44	40.749436300045204	1615 PUTNAM AVENUE	Queens	New York	-73.79729979984586	RIDGEWOOD	3530009	R2-WALK-UP	36390	C1-WALK-UP	9.17	1100000	4-03545-0081	0.75	9.19	15	C1-WALK-UP	RIDGEWOOD	40.749436300045204	1625 PUTNAM AVENUE	Queens	New York	-73.79729979984586	RIDGEWOOD	382-R1	4-03371-7501	0	0.75	333630	48	30.2	48	1100000	40.749436300045204	2116 GREENE AVENUE	Queens	New York	-73.79729979984586	1927	891000	59400	334424	59	4-03545-0075	36390	30.2	1927
17	40.749436300045204	1702 WOODBINE STREET	Queens	New York	-73.79729979984586	RIDGEWOOD	1140000	R4-ELEVATOR	12600	C1-WALK-UP	11.52	412000	4-03457-0006	0	9.68	20.3	C1-WALK-UP	RIDGEWOOD	40.749436300045204	1701 WOODBINE STREET	Queens	New York	-73.79729979984586	RIDGEWOOD	411-R1	4-03456-7501	2002	0.05	145170	16	32.7	16	512000	40.749436300045204	714 SENECA AVENUE	Queens	New York	-73.79729979984586	1930	255922	12607	121950	90	4-03456-0001	12600	40.6	1930
12	40.749436300045204	144 14 38 AVENUE	Queens	New York	-73.79729979984586	KEW GARDENS	677001	R2-WALK-UP	10359	C1-WALK-UP	18.85	948000	4-05024-0016	4	18.06	16.6	D7-ELEVATOR	RIDGEWOOD	40.749436300045204	123 20 82 AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	130-R1	4-03494-7501	1987	5.7	195261	18	73	16	794000	40.749436300045204	5926 BLEECKER STREET	Queens	New York	-73.79729979984586	1980	166348	10021	233085	68	4-03359-0011	12905	77	1996
64	40.749436300045204	89 17 72 AVENUE	Queens	New York	-73.79729979984586	GLENDALE	4769993	R4-ELEVATOR	44928	C9-WALK-UP	17.67	3110000	4-03873-0028	1.85	16.97	18.11	C9-WALK-UP	GLENDALE	40.749436300045204	89 15 73 AVENUE	Queens	New York	-73.79729979984586	GLENDALE	350-R1	4-03637-7501	0	1.85	793840	52	69	52	3230000	40.749436300045204	71 05 FRESH POND ROAD	Queens	New York	-73.79729979984586	1950	1171825	64706	764458	74	4-03874-0078	45040	72	1950
12	40.749436300045204	40 37 97 STREET	Queens	New York	-73.79729979984586	ASTORIA	583000	R2-WALK-UP	12304	C1-WALK-UP	12.97	529000	4-01606-0052	4.45	14.75	14.75	C1-WALK-UP	GLENDALE	40.749436300045204	31 20 28 ROAD	Queens	New York	-73.79729979984586	CORONA	226-R1	4-03667-7501	1988	2.9	159599	12	58	16	600000	40.749436300045204	72 52 METROPOLITAN AVENUE	Queens	New York	-73.79729979984586	1990	147042	9969	133500	58	4-00619-0033	9053	48.8	1987
50						BRIARWOOD	3629986	R4-ELEVATOR				3720000		3.6	17.05	16.25	D1-ELEVATOR	GLENDALE	40.749436300045204	141 24 84 DRIVE	Queens	New York	-73.79729979984586		449-R1	4-03706-7501	1903			49	69			40.749436300045204	76 18 69 PLACE	Queens	New York	-73.79729979984586		893003	54954	913787	66	4-09712-0146	53580		2003
28	40.749436300045204	86 18 UNION TURNPIKE	Queens	New York	-73.79729979984586	GLENDALE	662994	R2-WALK-UP	18630	C1-WALK-UP	10.75	388000	4-03848-0001	1	11.83	9.65	C1-WALK-UP	GLENDALE	40.749436300045204	71 56 69 STREET	Queens	New York	-73.79729979984586	GLENDALE	378-R1	4-03727-7501	0	2.05	200341	12	41.7	22	677000	40.749436300045204	56 07 CLOVER PLACE	Queens	New York	-73.79729979984586	1950	196088	20320	110000	32.6	4-03683-0036	9300	36.3	1928
15	40.749436300045204	119 58 27 AVENUE	Queens	New York	-73.79729979984586	COLLEGE POINT	645001	R2-WALK-UP	17493	C1-WALK-UP	11.05	549000	4-04292-0060	0.1	13.04	14.7	C1-WALK-UP	COLLEGE POINT	40.749436300045204	25 60 COLLEGE POINT	Queens	New York	-73.79729979984586	COLLEGE POINT	91-R1	4-04259-7501	1983	0.2	193270	15	49	30	681000	40.749436300045204	122 15 25 ROAD	Queens	New York	-73.79729979984586	1966	162817	11076	145996	58	4-04256-0030	11196	38.9	1964
23	40.749436300045204	137 02 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	REGO PARK	1559995	R4-ELEVATOR	67324	D1-ELEVATOR	18.44	3980000	4-04977-0021	3	14.98	17	D1-ELEVATOR	FLUSHING-NORTH	40.749436300045204	63 36 98 PLACE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	370-R1	4-04410-7501	1990	0.45	1241455	66	59	71	5050000	40.749436300045204	137 11 32 AVENUE	Queens	New York	-73.79729979984586	2000	382976	22528	1003304	69	4-02098-0018	66962	75	1980
20	40.749436300045204	137 02 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1959993	R4-ELEVATOR	67324	D1-ELEVATOR	18.44	5460000	4-04977-0021	0.45	23.26	26.3	D6-ELEVATOR	FLUSHING-NORTH	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	517-R1	4-04414-7502	2005	0.45	1241455	63	104	71	5050000	40.749436300045204	140 24 31 DRIVE	Queens	New York	-73.79729979984586	2000	404981	15422	1220725	127	4-04977-0017	52477	75	2000
20	40.749436300045204	20 01 21 AVENUE	Queens	New York	-73.79729979984586	ASTORIA	703000	R2-WALK-UP	20763	C9-WALK-UP	15.53	1310000	4-00893-0101	5.2	15.53	12.5	C9-WALK-UP	WHITESTONE	40.749436300045204	19 09 21 AVENUE	Queens	New York	-73.79729979984586	ASTORIA	74-R1	4-04672-7501	1947	5.2	322543	27	63	27	1310000	40.749436300045204	149 47 22 AVENUE	Queens	New York	-73.79729979984586	1949	186875	14950	322543	47	4-00893-0002	20763	63	1949
18	40.749436300045204	35 14 149 STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1049998	R2-WALK-UP	10500	C1-WALK-UP	14.34	541000	4-05005-0042	0.45	13.6	15.25	C1-WALK-UP	FLUSHING-NORTH	40.749436300045204	144 22 34 AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	423-R1	4-04952-7501	2002	0.65	150583	14	54	14	597000	40.749436300045204	32 05 LINDEN PLACE	Queens	New York	-73.79729979984586	1996	257953	16915	136440	62	4-04995-0024	10032	57	1976
24	40.749436300045204	145 16 34 AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1140004	R4-ELEVATOR	47516	D6-ELEVATOR	15.14	3260000	4-04995-0034	0.15	20.8	13.17	D1-ELEVATOR	FLUSHING-NORTH	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	222-R1	4-04956-7501	1987	0.3	719254	27	93	42	2930000	40.749436300045204	35 45 LEAVITT STREET	Queens	New York	-73.79729979984586	1989	304227	23100	730080	49.4	4-04954-0131	35100	62	1999
12	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	803999	R2-WALK-UP	35100	D1-ELEVATOR	20.8	5460000	4-04954-0131	0.15	23.26	20.6	D6-ELEVATOR	FLUSHING-NORTH	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	431-R1	4-04958-7501	1996	0.4	730080	63	104	27	3260000	40.749436300045204	134 38 35 AVENUE	Queens	New York	-73.79729979984586	1999	179838	8730	1220725	92	4-04977-0017	52477	93	2000
47	40.749436300045204	137 02 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	8589996	R4-ELEVATOR	67324	D1-ELEVATOR	18.44	5460000	4-04977-0021	0.25	23.26	35	D6-ELEVATOR	FLUSHING-NORTH	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	511-R1	4-04970-7501	2003	0.25	1241455	63	104	71	5050000	40.749436300045204	59 05 MAIN STREET	Queens	New York	-73.79729979984586	2000	1707475	48785	1220725	176	4-04977-0017	52477	75	2000
20	40.749436300045204	140 16 34 AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1350005	R4-ELEVATOR	158456	D3-ELEVATOR	14.88	3260000	4-04994-0017	0.5	20.8	21.25	D1-ELEVATOR	FLUSHING-NORTH	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	446-R1	4-04971-7501	2004	0.45	2357868	27	93	151	9350000	40.749436300045204	135 37 37 AVENUE	Queens	New York	-73.79729979984586	1985	302812	14250	730080	95	4-04954-0131	35100	59	1999
