queens_condominium_property_total_units	comparable_rental_2_address/latitude	comparable_rental_2_address/human_address/address	comparable_rental_2_address/human_address/city	comparable_rental_2_address/human_address/state	comparable_rental_2_address/longitude	comparable_rental_1_neighborhood	queens_condominium_property_full_market_value	queens_condominium_property_building_classification	comparable_rental_2_gross_sqft	comparable_rental_2_building_classification	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	queens_condominium_property_gross_income_per_sqft	comparable_rental_1_building_classification	queens_condominium_property_neighborhood	comparable_rental_1_address/latitude	comparable_rental_1_address/human_address/address	comparable_rental_1_address/human_address/city	comparable_rental_1_address/human_address/state	comparable_rental_1_address/longitude	comparable_rental_2_neighborhood	queens_condominium_property_condo_section	queens_condominium_property_boro_block_lot	queens_condominium_property_year_built	comparable_rental_2_dist_from_coop_in_miles	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	queens_condominium_property_address/latitude	queens_condominium_property_address/human_address/address	queens_condominium_property_address/human_address/city	queens_condominium_property_address/human_address/state	queens_condominium_property_address/longitude	comparable_rental_2_year_built	queens_condominium_property_est_gross_income	queens_condominium_property_gross_sqft	comparable_rental_1_est_gross_income	queens_condominium_property_market_value_per_sqft	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
34						JACKSON HEIGHTS	1520000	R2-WALK-UP				9430000		1.55	12.9	12.9	D1-ELEVATOR	AIRPORT LA GUARDIA	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586		100-R4	4-00946-7501	1929			195	48.5			40.749436300045204	19 35 80 STREET	Queens	New York	-73.79729979984586		405640	31445	2509015	48.3	4-01273-0001	194450		1940
48						JACKSON HEIGHTS	1929996	R2-WALK-UP				9430000		1.35	12.9	12.9	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586		100-R5	4-00946-7501	1929			195	48.5			40.749436300045204	76 03 DITMARS BOULEVARD	Queens	New York	-73.79729979984586		513471	39804	2509015	48.5	4-01273-0001	194450		1940
92						JACKSON HEIGHTS	4059984	R2-WALK-UP				9430000		1.35	12.9	12.9	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586		100-R6	4-00946-7501	1929			195	48.5			40.749436300045204	77 03 DITMARS BOULEVARD	Queens	New York	-73.79729979984586		1079472	83680	2509015	48.5	4-01273-0001	194450		1940
75						JACKSON HEIGHTS	3120005	R2-WALK-UP				9430000		1.2	12.9	12.9	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586		100-R8	4-00946-7501	1929			195	48.5			40.749436300045204	22 35 75 STREET	Queens	New York	-73.79729979984586		831043	64422	2509015	48.4	4-01273-0001	194450		1940
204						JACKSON HEIGHTS	8440930	R2-WALK-UP				9430000		1.2	12.9	12.9	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586		100-R9	4-00946-7501	1929			195	48.5			40.749436300045204	22 31 76 STREET	Queens	New York	-73.79729979984586		2245799	174093	2509015	48.5	4-01273-0001	194450		1940
257	40.749436300045204	245 10 GRND CNTRL PARKWAY	Queens	New York	-73.79729979984586	FLUSHING-NORTH	11700035	R2-WALK-UP	243883	D3-ELEVATOR	13.78	9090000	4-08401-0600	3.75	10.28	12.25	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	37 60 45 AVENUE	Queens	New York	-73.79729979984586	GLEN OAKS	73-R1	4-01010-7501	1952	8.8	3359693	256	34.7	240	13300000	40.749436300045204	22 10 79 STREET	Queens	New York	-73.79729979984586	1966	3122647	254910	2691386	45.9	4-05146-0036	261919	55	1955
96	40.749436300045204	94 02 35 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	6399992	R4-ELEVATOR	111648	D1-ELEVATOR	13.26	3360000	4-01468-0001	0.1	10.23	13.3	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	74 15 35 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	96-R1	4-01263-7501	1939	0.9	1480910	97	34.6	144	5570000	40.749436300045204	76 15 35 AVENUE	Queens	New York	-73.79729979984586	1934	1703065	128050	994431	50	4-01261-0035	97170	49.9	1935
41	40.749436300045204	33 51 84 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	2030004	R4-ELEVATOR	53400	D1-ELEVATOR	8.91	2400000	4-01432-0039	0.25	11.33	11.3	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	35 15 75 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	95-R1	4-01266-7501	1939	0.3	475671	59	40	48	1570000	40.749436300045204	79 15 35 AVENUE	Queens	New York	-73.79729979984586	1932	576254	50996	680016	39.8	4-01275-0061	60000	29.4	1939
52	40.749436300045204	35 15 75 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	3929999	R4-ELEVATOR	60000	D1-ELEVATOR	11.33	3170000	4-01275-0061	0.4	12.75	15	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	34 20 74 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	126-R1	4-01268-7501	1937	0.35	680016	65	47.9	59	2400000	40.749436300045204	34 44 82 STREET	Queens	New York	-73.79729979984586	1939	991245	66083	843116	59	4-01260-0016	66138	40	1937
214	40.749436300045204	88 35 164 STREET	Queens	New York	-73.79729979984586	FLUSHING-SOUTH	11900013	R4-ELEVATOR	156240	D1-ELEVATOR	10.24	26300000	4-09814-0006	4.7	25.9	14	D6-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	159 10 71 AVENUE	Queens	New York	-73.79729979984586	JAMAICA	83-R1	4-01270-7501	1964	5.9	1600000	142	126	162	5410000	40.749436300045204	35 20 LEVERICH STREET	Queens	New York	-73.79729979984586	1962	3000200	214300	5430133	56	4-06797-0054	209525	34.6	2000
57	40.749436300045204	107 19 70 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	4169989	R4-ELEVATOR	61700	D1-ELEVATOR	12.09	2400000	4-02214-0040	0.1	11.33	16	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	35 15 75 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	66-R1	4-01277-7501	1937	2.95	746224	59	40	67	2630000	40.749436300045204	35 50 78 STREET	Queens	New York	-73.79729979984586	1938	1024160	64010	680016	65	4-01275-0061	60000	42.6	1939
16	40.749436300045204	54 01 ROOSEVELT AVENUE	Queens	New York	-73.79729979984586	WOODSIDE	1050002	R2-WALK-UP	9800	C7-WALK-UP	27.2	920000	4-01317-0074	0	16.55	16.55	C1-WALK-UP	WOODSIDE	40.749436300045204	41 01 67 STREET	Queens	New York	-73.79729979984586	WOODSIDE	279-R1	4-01307-7501	1986	0.65	266861	21	67	15	1290000	40.749436300045204	41 14 68 STREET	Queens	New York	-73.79729979984586	1961	258726	15633	226262	67	4-01307-0018	13672	132	1927
16						ELMHURST	501001	R2-WALK-UP				906000		0.7	12.52	11.2	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586		211-R1	4-01310-7501	1988			21	47.1			40.749436300045204	41 28 71 STREET	Queens	New York	-73.79729979984586		142038	12682	241090	39.5	4-01505-0076	19250		1991
20	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	781999	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.7	12.52	13	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	387-R1	4-01310-7503	1991	0.75	254501	21	47.1	21	1040000	40.749436300045204	41 58 71 STREET	Queens	New York	-73.79729979984586	1992	208000	16000	241090	48.9	4-01505-0076	19250	65	1991
12	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	436003	R2-WALK-UP	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.6	12.52	14.5	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	287-R1	4-01312-7501	1987	0.65	254501	21	47.1	21	1040000	40.749436300045204	41 58 73 STREET	Queens	New York	-73.79729979984586	1992	110069	7591	241090	57	4-01505-0076	19250	65	1991
68	40.749436300045204	40 14 62 STREET	Queens	New York	-73.79729979984586	WOODSIDE	2590001	R2-WALK-UP	42924	D1-ELEVATOR	14.19	2510000	4-01336-0052	0	14.73	14.5	D1-ELEVATOR	WOODSIDE	40.749436300045204	40 15 61 STREET	Queens	New York	-73.79729979984586	WOODSIDE	344-R1	4-01336-7501	0	0	609191	56	58	56	2410000	40.749436300045204	61 20 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	1963	652500	45000	632139	58	4-01336-0032	42924	56	1963
63	40.749436300045204	37 50 76 STREET	Queens	New York	-73.79729979984586	WOODSIDE	4299987	R4-ELEVATOR	47392	D7-ELEVATOR	12.39	3540000	4-01286-0058	0.25	21.63	17	D9-ELEVATOR	WOODSIDE	40.749436300045204	44 20 63 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	116-R1	4-01337-7501	1986	0.7	587317	78	61	64	2210000	40.749436300045204	62 10 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	1974	1058318	62254	1254510	69	4-02324-0035	58000	46.6	1982
24	40.749436300045204	37 33 61 STREET	Queens	New York	-73.79729979984586	WOODSIDE	1120000	R4-ELEVATOR	23948	C1-WALK-UP	12.5	959000	4-01216-0025	0.35	10.32	13.5	C1-WALK-UP	WOODSIDE	40.749436300045204	41 47 56 STREET	Queens	New York	-73.79729979984586	WOODSIDE	483-R1	4-01337-7502	2005	0.35	299350	30	34.9	31	1130000	40.749436300045204	41 52 63 STREET	Queens	New York	-73.79729979984586	1929	297041	22003	283705	51	4-01327-0008	27492	47.2	1930
28	40.749436300045204	31 79 35 STREET	Queens	New York	-73.79729979984586	ASTORIA	1280003	R4-ELEVATOR	14600	C1-WALK-UP	13.65	1050000	4-00648-0009	1.55	16.04	16	C1-WALK-UP	WOODSIDE	40.749436300045204	30 78 38 STREET	Queens	New York	-73.79729979984586	ASTORIA	504-R1	4-01337-7503	2005	1.6	199226	20	65	22	790000	40.749436300045204	40 BEACH 62 STREET	Queens	New York	-73.79729979984586	1921	314000	19625	258612	65	4-00659-0079	16123	54	1921
89	40.749436300045204	143 01 41 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	3610000	R4-ELEVATOR	74032	D1-ELEVATOR	12.6	4150000	4-05023-0001	1.85	13.87	13	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	62 10 99 STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	64-R1	4-01433-7501	1951	3.1	932434	85	55	88	3510000	40.749436300045204	85 11 34 AVENUE	Queens	New York	-73.79729979984586	1962	959400	73800	1047826	48.9	4-02093-0133	75570	47.4	1968
52	40.749436300045204	34 57 82 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	2819999	R4-ELEVATOR	51872	D1-ELEVATOR	11.26	9430000	4-01443-0040	0.45	12.9	12.3	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	73 12 35 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	99-R1	4-01443-7501	1929	0	584000	195	48.5	46	2060000	40.749436300045204	34 20 83 STREET	Queens	New York	-73.79729979984586	1936	749070	60900	2509015	46.3	4-01273-0001	194450	39.7	1940
60	40.749436300045204	94 16 34 ROAD	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	2299998	R4-ELEVATOR	41712	D1-ELEVATOR	8.98	2170000	4-01455-0060	0.15	12.38	12.4	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	94 06 34 ROAD	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	219-R1	4-01452-7501	1928	0.15	374666	59	46.5	43	1230000	40.749436300045204	90 10 34 AVENUE	Queens	New York	-73.79729979984586	1928	612461	49392	577779	46.6	4-01455-0055	46662	29.5	1928
88	40.749436300045204	89 07 34 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	4680000	R4-ELEVATOR	90000	D1-ELEVATOR	9.61	5480000	4-01437-0032	0.15	14.4	14.4	D1-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	34 18 91 STREET	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	223-R1	4-01462-7501	1927	0.3	865082	162	57	132	2920000	40.749436300045204	35 64 89 STREET	Queens	New York	-73.79729979984586	1930	1180800	82000	1381453	57	4-01451-0012	95904	32.4	1927
